    ('agnetha',     'Flit',         'The Deep',     '08/27/2016'),
    ('macho',       'Scream',       'Valhalla',     '10/15/2016'),

    ('ollie',       'Ralf',         'The Deep',     '09/03/2016'),
    ('ollie',       'Ralf',         'Camelot',      '09/17/2016'),
    ('ollie',       'Tooth',        'Valhalla',     '09/24/2016'),
    ('ollie',       'Ralf',         'Camelot',      '10/08/2016'),
    ('ollie',       'Tooth',        'Buffalo',      '10/15/2016'),

    ('storm',       'Beyonce',      'Walmart',      '08/27/2016'),
    ('storm',       'Lazarus',      'Valhalla',     '09/03/2016'),
    ('storm',       'Beyonce',      'Camelot',      '09/10/2016'),
    ('storm',       'Nibbles',      'Buffalo',      '09/17/2016'),
    ('storm',       'Lazarus',      'Walmart',      '09/24/2016'),
    ('storm',       'Nibbles',      'Walmart',      '10/01/2016'),
    ('storm',       'Beyonce',      'The Deep',     '10/08/2016'),
    ('storm',       'Nibbles',      'Camelot',      '10/15/2016'),

    ('surfette',    'Mia',          'Valhalla',     '08/20/2016'),
    ('surfette',    'Mia',          'Valhalla',     '08/27/2016'),
    ('surfette',    'Zerf',         'Buffalo',      '09/03/2016'),
    ('surfette',    'Mia',          'Buffalo',      '09/17/2016'),
    ('surfette',    'Mia',          'Valhalla',     '09/24/2016'),
    ('surfette',    'Zerf',         'Walmart',      '10/08/2016'),

    ('thesix',      'Sweetiepie',   'The Deep',     '08/27/2016'),
    ('thesix',      'Sweetiepie',   'Walmart',      '09/03/2016'),
    ('thesix',      'Sweetiepie',   'Camelot',      '09/10/2016'),
    ('thesix',      'Sweetiepie',   'Camelot',      '09/17/2016'),
    ('thesix',      'Beckham',      'Walmart',      '09/24/2016'),
    ('thesix',      'Sweetiepie',   'Walmart',      '10/01/2016'),
    ('thesix',      'Sweetiepie',   'The Deep',     '10/08/2016'),
    ('thesix',      'Beckham',      'Walmart',      '10/15/2016'),

    ('zedster',     'Marvin',       'The Deep',     '08/20/2016'),
    ('zedster',     'Marvin',       'The Deep',     '08/27/2016'),
    ('zedster',     'Horatio',      'Camelot',      '09/03/2016'),
    ('zedster',     'Marvin',       'Buffalo',      '09/10/2016'),
    ('zedster',     'Marvin',       'Valhalla',     '09/24/2016'),
    ('zedster',     'Marvin',       'Valhalla',     '10/08/2016'),
    ('zedster',     'Horatio',      'The Deep',     '10/15/2016'),

    ('zoood',       'Sherlock',     'Camelot',      '08/20/2016'),
    ('zoood',       'Sherlock',     'The Deep',     '09/03/2016'),
    ('zoood',       'Smiley',       'Buffalo',      '09/10/2016'),
    ('zoood',       'Smiley',       'The Deep',     '09/17/2016'),
    ('zoood',       'Smiley',       'Walmart',      '09/24/2016'),
    ('zoood',       'Smiley',       'The Deep',     '10/01/2016'),
    ('zoood',       'Sherlock',     'The Deep',     '10/08/2016'),
